state,year,tc_loss_ha
Sarawak,2015,156138
Selangor,2015,5913
Trengganu,2015,14746
Johor,2016,45063
Kedah,2016,14906
Kelantan,2016,27174
Kuala Lumpur,2016,43
Labuan,2016,120
Melaka,2016,5325
Negeri Sembilan,2016,16640
Pahang,2016,99967
Perak,2016,32984
Perlis,2016,714
Pulau Pinang,2016,726
Putrajaya,2016,55
Sabah,2016,113067
Sarawak,2016,178750
Selangor,2016,10238
Trengganu,2016,19783
Johor,2017,44064
Kedah,2017,16052
Kelantan,2017,20604
Kuala Lumpur,2017,103
Labuan,2017,37
Melaka,2017,4385
Negeri Sembilan,2017,13602
Pahang,2017,71777
Perak,2017,30468
Perlis,2017,557
Pulau Pinang,2017,641
Putrajaya,2017,45
Sabah,2017,88767
Sarawak,2017,164697
Selangor,2017,9572
Trengganu,2017,18130
Johor,2018,32738
Kedah,2018,13980
Kelantan,2018,23472
Kuala Lumpur,2018,62
Labuan,2018,28
Melaka,2018,3933
Negeri Sembilan,2018,10540
Pahang,2018,59870
Perak,2018,22953
Perlis,2018,394
Pulau Pinang,2018,459
Putrajaya,2018,41
Sabah,2018,92709
Sarawak,2018,151383
Selangor,2018,9037
Trengganu,2018,16416
Johor,2019,30412
Kedah,2019,11720
Kelantan,2019,26952
Kuala Lumpur,2019,29
Labuan,2019,22
Melaka,2019,3817
Negeri Sembilan,2019,9672
Pahang,2019,56671
Perak,2019,22414
Perlis,2019,1151
Pulau Pinang,2019,463
Putrajaya,2019,55
Sabah,2019,90613
Sarawak,2019,118415
Selangor,2019,8603
Trengganu,2019,14395
Johor,2020,22593
Kedah,2020,8725
Kelantan,2020,15748
Kuala Lumpur,2020,11
Labuan,2020,33
Melaka,2020,2812
Negeri Sembilan,2020,6491
Pahang,2020,40948
Perak,2020,15675
Perlis,2020,704
Pulau Pinang,2020,449
Putrajaya,2020,24
Sabah,2020,68313
Sarawak,2020,72370
Selangor,2020,4700
Trengganu,2020,9177
Johor,2021,21403
Kedah,2021,7429
Kelantan,2021,18512
Kuala Lumpur,2021,15
Labuan,2021,29
Melaka,2021,2757
Negeri Sembilan,2021,6086
Pahang,2021,43940
Perak,2021,19237
Perlis,2021,217
Pulau Pinang,2021,481
Putrajaya,2021,31
Sabah,2021,66593
Sarawak,2021,72721
Selangor,2021,7673
Trengganu,2021,10475
Johor,2022,15783
Kedah,2022,5633
Kelantan,2022,16884
Kuala Lumpur,2022,8
Labuan,2022,38
Melaka,2022,1696
Negeri Sembilan,2022,5008
Pahang,2022,34213
Perak,2022,13019
Perlis,2022,190
Pulau Pinang,2022,280
Putrajaya,2022,15
Sabah,2022,64221
Sarawak,2022,75324
Selangor,2022,3866
Trengganu,2022,11951
Johor,2023,24701
Kedah,2023,7387
Kelantan,2023,22406
Kuala Lumpur,2023,12
Labuan,2023,36
Melaka,2023,1988
